owner_id,Time,Z,Act,State,Sequence,Keyword,Message_1,STT_1,Message_2,STT_2,Message_3,STT_3
1043,'2021-08-01 00:03:09,부동,취침,수면,,,,,,,,
1043,'2021-08-01 10:03:10,부동,낮잠,낮잠자기,,,,,,,,
1043,'2021-08-01 20:03:08,미동,취침,수면,,,,,,,,
1043,'2021-08-02 10:03:06,부동,낮잠,낮잠자기,,,,,,,,
1043,'2021-08-02 20:03:15,부동,취침,수면,,,,,,,,
1043,'2021-08-03 10:03:11,부동,낮잠,낮잠자기,,,,,,,,
1043,'2021-08-03 20:03:11,부동,취침,수면,,,,,,,,
1043,'2021-08-04 10:03:13,부동,낮잠,낮잠자기,,,,,,,,
1043,'2021-08-04 20:03:13,부동,취침,수면,,,,,,,,
1043,'2021-08-05 10:03:07,부동,낮잠,낮잠자기,,,,,,,,
1043,'2021-08-05 20:03:08,부동,취침,수면,,,,,,,,
1043,'2021-08-06 10:03:08,미동,낮잠,낮잠자기,,,,,,,,
1043,'2021-08-06 11:53:08,부동,낮잠기상,낮잠 기상하기,,,,,,,,
1043,'2021-08-06 12:53:08,부동,휴식,취미활동,,,,,,,,
1043,'2021-08-06 23:13:09,부동,취침,수면,,,,,,,,
1043,'2021-08-07 04:35:12,미동,기상,기상하기,,,,,,,,
1043,'2021-08-07 05:33:09,부동,휴식,취미활동,,,,,,,,
1043,'2021-08-07 10:33:05,부동,외출,외출하기,,,,,,,,
1043,'2021-08-07 14:07:09,미동,귀가,귀가하기,,,,,,,,
1043,'2021-08-07 14:23:10,부동,휴식,취미활동,,,,,,,,
1043,'2021-08-07 17:53:07,부동,외출,외출하기,,,,,,,,
1043,'2021-08-07 18:03:04,부동,귀가,귀가하기,,,,,,,,
1043,'2021-08-07 18:13:05,부동,휴식,취미활동,,,,,,,,
1043,'2021-08-07 22:23:10,부동,취침,수면,,,,,,,,
1043,'2021-08-08 04:43:10,미동,기상,기상하기,,,,,,,,
1043,'2021-08-08 05:33:10,부동,휴식,취미활동,,,,,,,,
1043,'2021-08-08 17:43:11,미동,외출,외출하기,,,,,,,,
1043,'2021-08-08 19:13:11,부동,귀가,귀가하기,,,,,,,,
1043,'2021-08-08 19:16:01,창문,환기,집 환기하기,HPM,,우산을 쓰고 빗속을 걷고 싶은 날이에요 상학님이 오시기만을 기다렸어요! 미세먼지가 해가 갈수록 심해지는 원인 중에 하나는 자가용을 이용하는 사람이 많아지는 것도 영향이 있다고해요.,,,,,
1043,'2021-08-08 20:13:11,부동,휴식,취미활동,,,,,,,,
1043,'2021-08-08 22:43:11,부동,취침,수면,,,,,,,,
1043,'2021-08-09 01:11:17,리모콘,기상,기상하기,,,,,,,,
1043,'2021-08-09 01:20:22,냉장고,새벽음식출납,새벽 간식,,,,,,,,
1043,'2021-08-09 01:27:11,리모콘,새벽TV,새벽 TV 시청,CM,,"열정 가득한 상학님, 밤 늦게 자주 티비를 보시는 습관은 무기력해지는 원인이라고해요.",,,,,
1043,'2021-08-09 02:13:11,부동,취침,수면,,,,,,,,
1043,'2021-08-09 02:35:02,리모콘,기상,기상하기,,,,,,,,
1043,'2021-08-09 02:42:17,리모콘,새벽TV,새벽 TV 시청,CM,,"순이가 가장 존경하는 우리 상학님, 잠이 안오시는구나아, 그래도 티비 보실 땐 불은 환하게 키고 보셔야해요! ",,,,,
1043,'2021-08-09 04:05:54,냉장고,음식출납,음식 꺼내기,CM,,"순이가 최고로 아끼는 우리 상학님, 녹황색 채소가 눈 건강에 정말 도움이 된다고 해요! 대표적으로 브로콜리, 시금치가 있답니다.",,,,,
1043,'2021-08-09 05:13:11,부동,취침,수면,,,,,,,,
1043,'2021-08-09 07:13:11,미동,기상,기상하기,,,,,,,,
1043,'2021-08-09 07:37:44,변기,용변,화장실 이용,CHPM,,"친절하신 우리 상학님, 오늘도 반가워요! 행복한 아침이 찾아왔어요. 오늘도 함께 할 수 있어 너무 행복해요. 혈압 측정 삼십분 이내에는 알코올 섭취를 꼭 피해주세요.",,,,,
1043,'2021-08-09 08:03:39,냉장고,음식출납,음식 꺼내기,PM,,건강은 꼭 우리가 지켜야 하는 요소입니다. 미리 병원 검진을 주기적으로 받는 것부터 건강을 위한 첫걸음입니다. 고등어에 오메가쓰리가 많아서 혈액 건강에 도움을 된대요!,,,,,
