,rank
276,20.69
315,29.89
341,95.4
479,79.31
486,48.28
490,39.08
494,71.26
495,44.83
496,3.45
505,97.7
512,66.67
513,40.23
518,36.78
519,73.56
520,91.95
534,57.47
542,12.64
546,22.99
547,18.39
570,74.71
581,90.8
582,81.61
644,45.98
654,86.21
661,50.57
665,96.55
668,88.51
672,64.37
673,98.85
720,70.11
768,77.01
796,8.05
797,42.53
799,43.68
800,33.33
801,59.77
802,89.66
803,9.2
805,52.87
806,87.36
807,51.72
809,67.82
813,54.02
1002,0.0
1004,94.25
1008,32.18
1009,26.44
1012,68.97
1013,34.48
1016,27.59
1019,1.15
1021,55.17
1022,37.93
1026,49.43
1032,62.07
1033,25.29
1040,80.46
1042,4.6
1043,78.16
1046,60.92
1048,17.24
1052,5.75
1053,21.84
1055,10.34
1057,72.41
1059,58.62
1061,28.74
1062,65.52
30016,16.09
30035,2.3
30038,63.22
30039,35.63
30040,47.13
30041,41.38
30046,19.54
30050,31.03
30053,75.86
30055,82.76
30056,93.1
30058,11.49
30066,83.91
30070,13.79
30071,14.94
30074,24.14
30075,6.9
30076,56.32
30077,85.06
