user_id,sex,age
228,F,80
230,F,73
232,M,84
273,F,83
276,F,56
315,F,76
339,F,85
341,F,80
342,F,78
476,F,82
477,M,83
479,F,75
486,F,85
488,M,82
490,F,80
492,F,77
494,F,75
495,F,85
496,F,83
504,F,74
505,F,76
509,F,72
511,F,82
512,F,81
513,M,84
518,F,82
519,F,88
520,F,88
527,F,72
530,F,80
532,F,84
534,F,74
535,F,88
536,F,81
537,F,84
538,F,80
540,F,76
542,F,79
544,F,75
546,F,72
547,M,81
552,F,78
570,F,75
574,M,75
580,F,87
581,F,83
582,F,74
583,F,74
585,F,83
633,F,81
635,F,79
636,F,76
642,M,89
644,F,74
650,M,84
653,F,69
654,F,70
655,M,74
656,M,76
658,F,73
661,F,73
662,M,74
664,F,71
665,F,78
667,M,85
668,M,75
672,F,87
673,M,85
705,F,85
720,F,85
732,F,74
760,M,70
768,F,83
796,F,75
797,F,82
799,M,70
800,F,68
801,F,84
802,F,77
803,F,80
804,F,82
805,M,71
806,M,72
807,F,82
808,F,83
809,M,83
811,M,80
812,F,78
813,F,86
1001,M,75
1002,F,72
1003,M,87
1004,F,82
1008,F,82
1009,F,72
1011,M,71
1012,F,80
1013,F,69
1015,F,75
1016,F,75
1018,F,85
1019,F,80
1020,F,77
1021,F,78
1022,F,78
1026,F,68
1027,F,82
1028,F,89
1029,F,80
1030,F,80
1032,F,74
1033,M,84
1034,F,84
1036,F,85
1037,M,74
1039,F,80
1040,M,83
1042,M,81
1043,M,89
1045,F,75
1046,F,71
1047,F,81
1048,M,85
1050,F,84
1052,F,88
1053,F,76
1054,F,82
1055,M,78
1056,F,78
1057,M,82
1059,F,80
1061,F,80
1062,F,77
30016,F,77
30035,F,74
30038,F,73
30039,F,78
30040,M,86
30041,M,88
30043,M,70
30044,F,76
30045,F,80
30046,F,77
30047,F,62
30048,F,65
30049,F,62
30050,F,60
30052,F,73
30053,F,59
30055,F,74
30056,M,81
30058,F,79
30059,F,75
30061,F,81
30062,F,84
30063,F,76
30064,F,68
30066,M,86
30067,F,81
30069,M,70
30070,F,74
30071,F,78
30072,F,65
30073,F,71
30074,F,74
30075,M,53
30076,F,83
30077,M,78
30078,M,75
30079,F,51
